Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
11/23/17,walking,walking,2017-11-23T10:19:42-07:00,2017-11-23T10:21:15-07:00,93,0.043,140,4
11/23/17,walking,walking,2017-11-23T11:35:27-07:00,2017-11-23T11:35:56-07:00,29,0.009,30,1
11/23/17,walking,walking,2017-11-23T12:10:05-07:00,2017-11-23T12:10:34-07:00,29,0.009,20,1
11/23/17,walking,walking,2017-11-23T12:12:50-07:00,2017-11-23T12:23:34-07:00,644,0.308,992,29
11/23/17,walking,walking,2017-11-23T12:25:01-07:00,2017-11-23T12:25:54-07:00,53,0.025,80,2
11/23/17,transport,transport,2017-11-23T13:44:02-07:00,2017-11-23T13:53:09-07:00,547,1.953,0,0
11/23/17,transport,transport,2017-11-23T13:57:20-07:00,2017-11-23T14:58:29-07:00,3669,38.805,0,0
11/23/17,transport,transport,2017-11-23T23:33:47-07:00,2017-11-23T23:37:20-07:00,213,0.459,0,0
11/24/17,transport,transport,2017-11-24T08:07:33-07:00,2017-11-24T08:17:33-07:00,600,0.429,0,0
11/24/17,walking,walking,2017-11-24T11:54:20-07:00,2017-11-24T11:54:39-07:00,19,0.009,30,1
11/24/17,walking,walking,2017-11-24T16:14:58-07:00,2017-11-24T16:15:27-07:00,29,0.012,40,1
11/24/17,transport,transport,2017-11-24T16:34:03-07:00,2017-11-24T17:27:53-07:00,3230,18.516,0,0
11/25/17,walking,walking,2017-11-25T13:49:10-07:00,2017-11-25T13:49:23-07:00,13,0.006,20,1
11/25/17,walking,walking,2017-11-25T23:20:14-07:00,2017-11-25T23:20:33-07:00,19,0.009,30,1
11/26/17,transport,transport,2017-11-26T10:04:21-07:00,2017-11-26T11:00:49-07:00,3388,43.994,0,0
11/26/17,walking,walking,2017-11-26T11:21:34-07:00,2017-11-26T11:22:59-07:00,85,0.040,128,4
11/26/17,walking,walking,2017-11-26T11:23:16-07:00,2017-11-26T11:34:05-07:00,649,0.454,974,43
11/26/17,walking,walking,2017-11-26T11:45:11-07:00,2017-11-26T11:48:56-07:00,225,0.145,326,14
11/26/17,walking,walking,2017-11-26T11:51:22-07:00,2017-11-26T11:59:40-07:00,498,0.156,503,15
11/26/17,walking,walking,2017-11-26T12:31:30-07:00,2017-11-26T12:34:33-07:00,183,0.128,275,12
11/26/17,walking,walking,2017-11-26T13:18:17-07:00,2017-11-26T13:30:18-07:00,721,0.365,1176,35
11/26/17,walking,walking,2017-11-26T13:36:32-07:00,2017-11-26T13:36:58-07:00,26,0.012,40,1
11/26/17,transport,transport,2017-11-26T14:08:06-07:00,2017-11-26T14:24:49-07:00,1003,7.192,0,0
11/26/17,transport,transport,2017-11-26T15:23:59-07:00,2017-11-26T16:03:33-07:00,2374,23.910,0,0
11/26/17,transport,transport,2017-11-26T17:37:42-07:00,2017-11-26T18:30:26-07:00,3164,10.424,0,0
11/26/17,walking,walking,2017-11-26T18:33:26-07:00,2017-11-26T18:35:31-07:00,125,0.088,188,8
11/26/17,transport,transport,2017-11-26T23:12:52-07:00,2017-11-26T23:20:20-07:00,448,2.172,0,0
11/27/17,transport,transport,2017-11-27T08:51:25-07:00,2017-11-27T08:59:12-07:00,467,2.327,0,0
11/27/17,walking,walking,2017-11-27T12:30:44-07:00,2017-11-27T12:31:04-07:00,20,0.009,30,1
11/27/17,walking,walking,2017-11-27T14:54:53-07:00,2017-11-27T14:55:22-07:00,29,0.009,30,1
11/27/17,transport,transport,2017-11-27T15:43:05-07:00,2017-11-27T15:55:57-07:00,772,3.477,0,0
11/27/17,walking,walking,2017-11-27T16:05:23-07:00,2017-11-27T16:07:38-07:00,135,0.094,202,9
11/27/17,walking,walking,2017-11-27T16:13:15-07:00,2017-11-27T16:23:04-07:00,589,0.441,718,42
11/27/17,transport,transport,2017-11-27T16:23:04-07:00,2017-11-27T16:28:41-07:00,337,0.222,0,0
11/27/17,walking,walking,2017-11-27T16:28:42-07:00,2017-11-27T16:33:15-07:00,273,0.147,403,14
11/27/17,walking,walking,2017-11-27T16:41:45-07:00,2017-11-27T16:45:47-07:00,242,0.169,363,16
11/27/17,walking,walking,2017-11-27T16:53:46-07:00,2017-11-27T17:14:06-07:00,1220,0.898,1853,86
11/27/17,walking,walking,2017-11-27T17:15:10-07:00,2017-11-27T17:16:50-07:00,100,0.047,150,4
11/27/17,transport,transport,2017-11-27T17:25:09-07:00,2017-11-27T17:38:08-07:00,779,3.350,0,0
11/27/17,walking,walking,2017-11-27T21:31:18-07:00,2017-11-27T21:31:31-07:00,13,0.006,20,1
11/28/17,transport,transport,2017-11-28T19:54:09-07:00,2017-11-28T19:59:44-07:00,335,0.911,0,0
11/28/17,transport,transport,2017-11-28T20:05:08-07:00,2017-11-28T20:13:53-07:00,525,1.667,0,0
11/28/17,transport,transport,2017-11-28T20:33:07-07:00,2017-11-28T21:46:50-07:00,4423,12.588,0,0
11/28/17,transport,transport,2017-11-28T23:08:11-07:00,2017-11-28T23:14:43-07:00,392,1.936,0,0
11/29/17,transport,transport,2017-11-29T14:56:17-07:00,2017-11-29T15:12:57-07:00,1000,2.541,0,0
11/29/17,walking,walking,2017-11-29T15:14:58-07:00,2017-11-29T15:15:01-07:00,3,0.001,5,0
11/29/17,walking,walking,2017-11-29T15:15:19-07:00,2017-11-29T15:17:21-07:00,122,0.085,183,8
11/29/17,transport,transport,2017-11-29T15:33:10-07:00,2017-11-29T15:51:22-07:00,1092,3.437,0,0
11/29/17,walking,walking,2017-11-29T17:16:21-07:00,2017-11-29T17:16:40-07:00,19,0.009,30,1
11/29/17,walking,walking,2017-11-29T20:30:49-07:00,2017-11-29T20:31:18-07:00,29,0.009,20,1
11/29/17,transport,transport,2017-11-29T22:56:34-07:00,2017-11-29T23:09:02-07:00,748,3.276,0,0
11/30/17,transport,transport,2017-11-30T08:55:54-07:00,2017-11-30T09:02:37-07:00,403,1.744,0,0
11/30/17,transport,transport,2017-11-30T14:12:32-07:00,2017-11-30T14:31:54-07:00,1162,3.810,0,0
11/30/17,transport,transport,2017-11-30T15:09:30-07:00,2017-11-30T15:13:09-07:00,219,1.104,0,0
11/30/17,walking,walking,2017-11-30T15:17:09-07:00,2017-11-30T15:17:28-07:00,19,0.009,30,1
11/30/17,walking,walking,2017-11-30T15:34:56-07:00,2017-11-30T15:47:08-07:00,732,0.372,1024,36
11/30/17,walking,walking,2017-11-30T15:53:02-07:00,2017-11-30T15:54:17-07:00,75,0.035,113,3
11/30/17,walking,walking,2017-11-30T16:03:20-07:00,2017-11-30T16:04:36-07:00,76,0.028,90,3
11/30/17,walking,walking,2017-11-30T16:11:58-07:00,2017-11-30T16:19:14-07:00,436,0.293,781,28
11/30/17,transport,transport,2017-11-30T16:19:14-07:00,2017-11-30T16:28:31-07:00,557,0.951,0,0
11/30/17,transport,transport,2017-11-30T17:29:54-07:00,2017-11-30T17:39:35-07:00,581,2.522,0,0
11/30/17,walking,walking,2017-11-30T21:57:48-07:00,2017-11-30T21:58:21-07:00,33,0.016,50,1
11/30/17,transport,transport,2017-11-30T23:32:02-07:00,2017-11-30T23:51:31-07:00,1169,1.577,0,0
12/1/17,transport,transport,2017-12-01T08:29:51-07:00,2017-12-01T09:01:55-07:00,1924,3.376,0,0
12/1/17,transport,transport,2017-12-01T11:50:45-07:00,2017-12-01T12:00:13-07:00,568,1.287,0,0
12/1/17,walking,walking,2017-12-01T16:56:57-07:00,2017-12-01T16:57:16-07:00,19,0.009,30,1
12/1/17,transport,transport,2017-12-01T17:00:52-07:00,2017-12-01T17:07:36-07:00,404,2.181,0,0
12/1/17,walking,walking,2017-12-01T17:08:03-07:00,2017-12-01T17:28:11-07:00,1208,0.583,1424,56
12/1/17,walking,walking,2017-12-01T17:29:50-07:00,2017-12-01T17:30:44-07:00,54,0.025,82,2
12/1/17,transport,transport,2017-12-01T17:35:19-07:00,2017-12-01T17:41:26-07:00,367,2.229,0,0
12/1/17,walking,walking,2017-12-01T18:21:34-07:00,2017-12-01T18:22:00-07:00,26,0.012,40,1
12/1/17,walking,walking,2017-12-01T18:26:51-07:00,2017-12-01T18:27:10-07:00,19,0.009,30,1
12/1/17,walking,walking,2017-12-01T21:56:05-07:00,2017-12-01T21:56:34-07:00,29,0.019,60,2
12/1/17,transport,transport,2017-12-01T23:22:21-07:00,2017-12-01T23:31:30-07:00,549,3.185,0,0
12/2/17,transport,transport,2017-12-02T09:21:42-07:00,2017-12-02T09:38:55-07:00,1033,1.885,0,0
12/2/17,transport,transport,2017-12-02T13:37:43-07:00,2017-12-02T14:05:19-07:00,1656,9.079,0,0
12/2/17,walking,walking,2017-12-02T14:07:44-07:00,2017-12-02T14:13:44-07:00,360,0.252,540,24
12/2/17,walking,walking,2017-12-02T14:40:08-07:00,2017-12-02T14:56:20-07:00,972,0.386,1236,37
12/2/17,walking,walking,2017-12-02T14:56:44-07:00,2017-12-02T14:57:44-07:00,60,0.028,90,3
12/2/17,walking,walking,2017-12-02T14:58:59-07:00,2017-12-02T15:10:25-07:00,686,0.390,1256,37
12/2/17,transport,transport,2017-12-02T15:10:25-07:00,2017-12-02T15:36:04-07:00,1539,8.592,0,0
12/2/17,transport,transport,2017-12-02T18:18:44-07:00,2017-12-02T18:22:38-07:00,234,0.366,0,0
12/2/17,transport,transport,2017-12-02T22:38:43-07:00,2017-12-02T22:40:26-07:00,103,0.465,0,0
12/3/17,transport,transport,2017-12-03T09:28:40-07:00,2017-12-03T09:37:50-07:00,550,0.393,0,0
12/3/17,transport,transport,2017-12-03T15:36:54-07:00,2017-12-03T15:40:53-07:00,239,1.649,0,0
12/3/17,walking,walking,2017-12-03T15:44:35-07:00,2017-12-03T15:45:35-07:00,60,0.028,90,3
12/3/17,transport,transport,2017-12-03T15:49:35-07:00,2017-12-03T15:56:09-07:00,394,0.295,0,0
12/3/17,walking,walking,2017-12-03T15:56:09-07:00,2017-12-03T16:03:18-07:00,429,0.285,842,27
12/3/17,walking,walking,2017-12-03T16:05:27-07:00,2017-12-03T16:06:40-07:00,73,0.034,110,3
12/3/17,walking,walking,2017-12-03T16:34:41-07:00,2017-12-03T16:49:21-07:00,880,0.728,1681,70
12/3/17,transport,transport,2017-12-03T16:54:09-07:00,2017-12-03T16:59:07-07:00,298,1.628,0,0
12/3/17,walking,walking,2017-12-03T17:35:13-07:00,2017-12-03T17:35:39-07:00,26,0.012,40,1
12/3/17,transport,transport,2017-12-03T23:41:24-07:00,2017-12-03T23:50:34-07:00,550,0.393,0,0
12/4/17,transport,transport,2017-12-04T09:23:17-07:00,2017-12-04T09:30:48-07:00,451,0.430,0,0
12/4/17,transport,transport,2017-12-04T10:02:58-07:00,2017-12-04T10:50:48-07:00,2870,22.696,0,0
12/4/17,transport,transport,2017-12-04T12:56:37-07:00,2017-12-04T13:07:49-07:00,672,1.383,0,0
12/5/17,transport,transport,2017-12-05T08:09:54-07:00,2017-12-05T08:26:34-07:00,1000,1.437,0,0
12/5/17,walking,walking,2017-12-05T08:57:03-07:00,2017-12-05T08:57:16-07:00,13,0.006,20,1
12/5/17,walking,walking,2017-12-05T10:52:06-07:00,2017-12-05T10:52:35-07:00,29,0.009,20,1
12/5/17,walking,walking,2017-12-05T14:58:30-07:00,2017-12-05T14:58:43-07:00,13,0.006,20,1
12/5/17,transport,transport,2017-12-05T16:34:53-07:00,2017-12-05T16:51:45-07:00,1012,5.538,0,0
12/5/17,walking,walking,2017-12-05T16:55:31-07:00,2017-12-05T17:08:54-07:00,803,0.375,1043,36
12/5/17,walking,walking,2017-12-05T17:13:09-07:00,2017-12-05T17:15:16-07:00,127,0.089,191,8
12/5/17,transport,transport,2017-12-05T17:18:20-07:00,2017-12-05T17:29:41-07:00,681,2.424,0,0
12/5/17,walking,walking,2017-12-05T21:47:14-07:00,2017-12-05T21:47:27-07:00,13,0.006,20,1
12/6/17,transport,transport,2017-12-06T09:05:45-07:00,2017-12-06T09:09:53-07:00,248,1.112,0,0
12/6/17,transport,transport,2017-12-06T14:04:59-07:00,2017-12-06T14:13:45-07:00,526,1.574,0,0
12/6/17,transport,transport,2017-12-06T14:23:14-07:00,2017-12-06T14:27:03-07:00,229,0.808,0,0
12/6/17,walking,walking,2017-12-06T14:46:37-07:00,2017-12-06T14:47:23-07:00,46,0.022,70,2
12/6/17,transport,transport,2017-12-06T14:47:29-07:00,2017-12-06T14:54:33-07:00,424,0.409,0,0
12/6/17,walking,walking,2017-12-06T14:54:33-07:00,2017-12-06T15:30:29-07:00,2156,1.289,3931,123
12/6/17,transport,transport,2017-12-06T17:02:11-07:00,2017-12-06T17:12:35-07:00,624,3.126,0,0
12/6/17,walking,walking,2017-12-06T17:14:20-07:00,2017-12-06T17:15:13-07:00,53,0.025,80,2
12/6/17,transport,transport,2017-12-06T17:21:28-07:00,2017-12-06T17:26:29-07:00,301,2.904,0,0
12/6/17,walking,walking,2017-12-06T17:27:09-07:00,2017-12-06T17:27:42-07:00,33,0.016,50,1
12/6/17,walking,walking,2017-12-06T20:35:22-07:00,2017-12-06T20:35:51-07:00,29,0.009,30,1
12/6/17,transport,transport,2017-12-06T22:30:56-07:00,2017-12-06T22:32:56-07:00,120,0.450,0,0
12/7/17,transport,transport,2017-12-07T09:29:45-07:00,2017-12-07T09:37:15-07:00,450,1.122,0,0
12/7/17,walking,walking,2017-12-07T14:24:00-07:00,2017-12-07T14:25:06-07:00,66,0.031,100,3
12/7/17,transport,transport,2017-12-07T14:31:57-07:00,2017-12-07T14:36:39-07:00,282,2.368,0,0
12/7/17,transport,transport,2017-12-07T16:42:04-07:00,2017-12-07T16:58:44-07:00,1000,0.943,0,0
12/7/17,walking,walking,2017-12-07T17:03:22-07:00,2017-12-07T17:08:16-07:00,294,0.097,312,9
12/7/17,walking,walking,2017-12-07T17:18:50-07:00,2017-12-07T17:21:24-07:00,154,0.107,231,10
12/7/17,transport,transport,2017-12-07T20:52:07-07:00,2017-12-07T21:08:36-07:00,989,1.877,0,0
12/7/17,walking,walking,2017-12-07T22:08:05-07:00,2017-12-07T22:08:25-07:00,20,0.009,30,1
12/7/17,transport,transport,2017-12-07T22:32:44-07:00,2017-12-07T22:38:04-07:00,320,1.173,0,0
12/8/17,transport,transport,2017-12-08T08:45:29-07:00,2017-12-08T08:50:34-07:00,305,1.164,0,0
12/8/17,walking,walking,2017-12-08T09:16:01-07:00,2017-12-08T09:17:49-07:00,108,0.050,162,5
12/8/17,walking,walking,2017-12-08T10:11:18-07:00,2017-12-08T10:14:49-07:00,211,0.151,282,14
12/8/17,transport,transport,2017-12-08T17:16:05-07:00,2017-12-08T17:20:48-07:00,283,0.936,0,0
12/8/17,walking,walking,2017-12-08T17:25:05-07:00,2017-12-08T17:25:38-07:00,33,0.016,50,1
12/8/17,walking,walking,2017-12-08T17:36:47-07:00,2017-12-08T17:39:05-07:00,138,0.093,184,9
12/8/17,transport,transport,2017-12-08T18:01:30-07:00,2017-12-08T18:06:48-07:00,318,0.957,0,0
12/8/17,transport,transport,2017-12-08T18:41:35-07:00,2017-12-08T18:48:10-07:00,395,1.599,0,0
12/8/17,walking,walking,2017-12-08T18:49:26-07:00,2017-12-08T18:52:06-07:00,160,0.112,241,11
12/8/17,walking,walking,2017-12-08T21:39:56-07:00,2017-12-08T21:40:25-07:00,29,0.016,50,1
12/8/17,transport,transport,2017-12-08T22:15:31-07:00,2017-12-08T22:20:55-07:00,324,0.365,0,0
12/8/17,transport,transport,2017-12-08T22:32:57-07:00,2017-12-08T22:37:31-07:00,274,0.842,0,0
12/9/17,transport,transport,2017-12-09T08:48:08-07:00,2017-12-09T11:53:20-07:00,11112,172.058,0,0
12/9/17,transport,transport,2017-12-09T18:13:58-07:00,2017-12-09T18:29:20-07:00,922,0.659,0,0
12/9/17,transport,transport,2017-12-09T22:35:57-07:00,2017-12-09T22:42:15-07:00,378,1.570,0,0
12/10/17,transport,transport,2017-12-10T08:52:45-07:00,2017-12-10T09:13:25-07:00,1240,6.239,0,0
12/10/17,transport,transport,2017-12-10T10:17:39-07:00,2017-12-10T11:00:09-07:00,2550,17.420,0,0
12/10/17,walking,walking,2017-12-10T11:00:09-07:00,2017-12-10T11:04:26-07:00,257,0.200,418,19
12/10/17,walking,walking,2017-12-10T11:06:20-07:00,2017-12-10T11:08:35-07:00,135,0.094,203,9
12/10/17,walking,walking,2017-12-10T12:57:23-07:00,2017-12-10T13:03:04-07:00,341,0.125,356,12
12/10/17,walking,walking,2017-12-10T13:15:12-07:00,2017-12-10T13:17:19-07:00,127,0.089,190,8
12/10/17,walking,walking,2017-12-10T13:22:52-07:00,2017-12-10T13:29:14-07:00,382,0.168,416,16
12/10/17,walking,walking,2017-12-10T13:54:01-07:00,2017-12-10T13:57:03-07:00,182,0.155,254,15
12/10/17,walking,walking,2017-12-10T13:57:04-07:00,2017-12-10T13:59:59-07:00,175,0.125,268,12
12/10/17,walking,walking,2017-12-10T14:13:34-07:00,2017-12-10T14:14:03-07:00,29,0.012,40,1
12/10/17,walking,walking,2017-12-10T15:30:44-07:00,2017-12-10T15:31:13-07:00,29,0.012,40,1
12/10/17,walking,walking,2017-12-10T15:55:55-07:00,2017-12-10T16:02:53-07:00,418,0.269,604,26
12/10/17,walking,walking,2017-12-10T16:03:38-07:00,2017-12-10T16:04:31-07:00,53,0.025,80,2
12/10/17,walking,walking,2017-12-10T17:23:01-07:00,2017-12-10T17:29:50-07:00,409,0.258,656,25
12/10/17,walking,walking,2017-12-10T17:49:39-07:00,2017-12-10T17:52:27-07:00,168,0.117,252,11
12/10/17,walking,walking,2017-12-10T18:00:00-07:00,2017-12-10T18:03:36-07:00,216,0.181,389,17
12/10/17,transport,transport,2017-12-10T18:05:29-07:00,2017-12-10T18:34:11-07:00,1722,17.452,0,0
12/10/17,transport,transport,2017-12-10T20:22:58-07:00,2017-12-10T20:31:12-07:00,494,5.946,0,0
12/10/17,walking,walking,2017-12-10T22:26:55-07:00,2017-12-10T22:27:08-07:00,13,0.006,20,1
12/10/17,transport,transport,2017-12-10T22:34:06-07:00,2017-12-10T22:40:26-07:00,380,1.568,0,0
12/11/17,transport,transport,2017-12-11T11:23:11-07:00,2017-12-11T11:39:51-07:00,1000,0.894,0,0
12/11/17,walking,walking,2017-12-11T13:12:55-07:00,2017-12-11T13:13:08-07:00,13,0.006,20,1
12/11/17,transport,transport,2017-12-11T13:30:53-07:00,2017-12-11T13:49:52-07:00,1139,1.742,0,0
12/11/17,walking,walking,2017-12-11T13:56:46-07:00,2017-12-11T14:02:55-07:00,369,0.158,218,15
12/11/17,walking,walking,2017-12-11T14:06:19-07:00,2017-12-11T14:07:19-07:00,60,0.028,90,3
12/11/17,transport,transport,2017-12-11T14:10:59-07:00,2017-12-11T14:30:29-07:00,1170,3.377,0,0
12/11/17,walking,walking,2017-12-11T14:50:05-07:00,2017-12-11T14:51:11-07:00,66,0.031,100,3
12/11/17,walking,walking,2017-12-11T16:57:57-07:00,2017-12-11T16:58:26-07:00,29,0.016,50,1
12/11/17,walking,walking,2017-12-11T19:46:46-07:00,2017-12-11T19:50:26-07:00,220,0.157,293,15
12/11/17,transport,transport,2017-12-11T20:08:21-07:00,2017-12-11T20:12:00-07:00,219,1.028,0,0
12/11/17,walking,walking,2017-12-11T20:12:00-07:00,2017-12-11T20:12:29-07:00,29,0.014,44,1
12/11/17,transport,transport,2017-12-11T22:15:11-07:00,2017-12-11T22:24:36-07:00,565,1.822,0,0
12/12/17,transport,transport,2017-12-12T08:28:25-07:00,2017-12-12T08:35:06-07:00,401,1.297,0,0
12/12/17,walking,walking,2017-12-12T08:38:00-07:00,2017-12-12T08:38:54-07:00,54,0.025,81,2
12/12/17,transport,transport,2017-12-12T16:54:18-07:00,2017-12-12T17:09:00-07:00,882,3.190,0,0
12/12/17,transport,transport,2017-12-12T20:48:01-07:00,2017-12-12T20:50:03-07:00,122,0.249,0,0
12/13/17,walking,walking,2017-12-13T09:45:19-07:00,2017-12-13T09:50:52-07:00,333,0.238,444,23
12/14/17,walking,walking,2017-12-14T16:05:41-07:00,2017-12-14T16:06:14-07:00,33,0.016,50,1
12/14/17,walking,walking,2017-12-14T16:07:51-07:00,2017-12-14T16:13:22-07:00,331,0.126,333,12
12/14/17,walking,walking,2017-12-14T16:15:11-07:00,2017-12-14T16:20:10-07:00,299,0.157,459,15
12/14/17,walking,walking,2017-12-14T16:44:00-07:00,2017-12-14T16:56:06-07:00,726,0.340,906,33
12/14/17,walking,walking,2017-12-14T16:57:01-07:00,2017-12-14T16:57:14-07:00,13,0.006,20,1
12/14/17,walking,walking,2017-12-14T17:00:58-07:00,2017-12-14T17:11:23-07:00,625,0.370,868,35
12/14/17,walking,walking,2017-12-14T17:15:13-07:00,2017-12-14T17:16:13-07:00,60,0.028,90,3
12/14/17,transport,transport,2017-12-14T17:33:07-07:00,2017-12-14T18:05:38-07:00,1951,20.141,0,0
12/14/17,transport,transport,2017-12-14T22:49:46-07:00,2017-12-14T22:58:57-07:00,551,1.556,0,0
12/15/17,transport,transport,2017-12-15T10:23:42-07:00,2017-12-15T10:40:22-07:00,1000,0.904,0,0
12/15/17,transport,transport,2017-12-15T12:10:37-07:00,2017-12-15T12:26:00-07:00,923,1.097,0,0
12/15/17,transport,transport,2017-12-15T12:51:28-07:00,2017-12-15T12:57:02-07:00,334,0.375,0,0
12/15/17,transport,transport,2017-12-15T13:05:13-07:00,2017-12-15T13:06:15-07:00,62,0.000,0,0
12/15/17,transport,transport,2017-12-15T13:08:00-07:00,2017-12-15T13:10:36-07:00,156,0.508,0,0
12/15/17,walking,walking,2017-12-15T13:13:01-07:00,2017-12-15T13:14:06-07:00,65,0.030,99,3
12/19/17,walking,walking,2017-12-19T22:32:26-07:00,2017-12-19T22:32:59-07:00,33,0.016,50,1
12/19/17,transport,transport,2017-12-19T22:34:10-07:00,2017-12-19T22:39:30-07:00,320,1.557,0,0
12/20/17,transport,transport,2017-12-20T09:57:44-07:00,2017-12-20T10:00:41-07:00,177,0.752,0,0
12/20/17,walking,walking,2017-12-20T10:36:43-07:00,2017-12-20T10:37:16-07:00,33,0.016,50,1
12/20/17,walking,walking,2017-12-20T11:34:34-07:00,2017-12-20T11:38:45-07:00,251,0.180,335,17
12/20/17,walking,walking,2017-12-20T14:12:07-07:00,2017-12-20T14:12:47-07:00,40,0.019,60,2
12/20/17,transport,transport,2017-12-20T15:31:54-07:00,2017-12-20T15:37:34-07:00,340,0.823,0,0
12/20/17,transport,transport,2017-12-20T16:25:59-07:00,2017-12-20T16:38:10-07:00,731,1.759,0,0
12/20/17,walking,walking,2017-12-20T17:26:10-07:00,2017-12-20T17:26:29-07:00,19,0.009,30,1
12/20/17,walking,walking,2017-12-20T20:52:32-07:00,2017-12-20T20:53:01-07:00,29,0.022,70,2
12/20/17,walking,walking,2017-12-20T21:07:42-07:00,2017-12-20T21:09:25-07:00,103,0.053,171,5
12/22/17,walking,walking,2017-12-22T22:13:04-07:00,2017-12-22T22:13:37-07:00,33,0.016,50,1
12/22/17,transport,transport,2017-12-22T22:28:41-07:00,2017-12-22T22:35:57-07:00,436,2.019,0,0
12/23/17,transport,transport,2017-12-23T09:27:18-07:00,2017-12-23T09:29:57-07:00,159,0.873,0,0
12/23/17,transport,transport,2017-12-23T16:50:22-07:00,2017-12-23T16:54:57-07:00,275,0.951,0,0
12/23/17,transport,transport,2017-12-23T17:12:15-07:00,2017-12-23T17:23:08-07:00,653,1.448,0,0
12/23/17,walking,walking,2017-12-23T17:42:46-07:00,2017-12-23T17:43:26-07:00,40,0.019,60,2
12/26/17,transport,transport,2017-12-26T10:25:32-07:00,2017-12-26T11:11:35-07:00,2763,26.328,0,0
12/26/17,transport,transport,2017-12-26T15:52:35-07:00,2017-12-26T16:06:34-07:00,839,13.609,0,0
12/26/17,transport,transport,2017-12-26T18:50:47-07:00,2017-12-26T19:00:48-07:00,601,4.681,0,0
12/26/17,transport,transport,2017-12-26T19:49:23-07:00,2017-12-26T20:11:45-07:00,1342,1.298,0,0
12/26/17,walking,walking,2017-12-26T21:47:05-07:00,2017-12-26T21:47:14-07:00,9,0.004,15,0
12/26/17,transport,transport,2017-12-26T22:27:02-07:00,2017-12-26T22:32:33-07:00,331,1.546,0,0
12/27/17,transport,transport,2017-12-27T12:54:50-07:00,2017-12-27T13:11:30-07:00,1000,1.168,0,0
12/27/17,walking,walking,2017-12-27T15:06:11-07:00,2017-12-27T15:07:19-07:00,68,0.032,102,3
12/27/17,transport,transport,2017-12-27T16:59:20-07:00,2017-12-27T17:12:37-07:00,797,4.978,0,0
12/27/17,walking,walking,2017-12-27T17:17:38-07:00,2017-12-27T17:37:12-07:00,1174,0.630,1499,60
12/27/17,transport,transport,2017-12-27T17:37:12-07:00,2017-12-27T18:00:11-07:00,1379,5.253,0,0
12/27/17,transport,transport,2017-12-27T22:48:51-07:00,2017-12-27T23:02:28-07:00,817,1.569,0,0
12/28/17,transport,transport,2017-12-28T08:56:42-07:00,2017-12-28T09:00:55-07:00,253,1.248,0,0
12/28/17,walking,walking,2017-12-28T09:02:55-07:00,2017-12-28T09:03:28-07:00,33,0.016,50,1
12/28/17,transport,transport,2017-12-28T13:25:27-07:00,2017-12-28T13:55:23-07:00,1796,1.039,0,0
12/28/17,walking,walking,2017-12-28T13:55:24-07:00,2017-12-28T13:58:32-07:00,188,0.127,411,12
12/28/17,transport,transport,2017-12-28T13:58:32-07:00,2017-12-28T14:11:31-07:00,779,0.433,0,0
12/28/17,walking,walking,2017-12-28T14:18:54-07:00,2017-12-28T14:21:41-07:00,167,0.117,251,11
12/29/17,transport,transport,2017-12-29T09:29:29-07:00,2017-12-29T09:33:32-07:00,243,0.904,0,0
12/29/17,transport,transport,2017-12-29T14:33:56-07:00,2017-12-29T14:36:42-07:00,166,0.761,0,0
12/29/17,cycling,cycling,2017-12-29T14:51:41-07:00,2017-12-29T15:30:46-07:00,2345,13.788,0,564
12/29/17,walking,walking,2017-12-29T15:39:19-07:00,2017-12-29T15:41:02-07:00,103,0.048,155,5
12/29/17,walking,walking,2017-12-29T15:44:27-07:00,2017-12-29T16:08:23-07:00,1436,1.112,2656,106
12/29/17,walking,walking,2017-12-29T16:10:44-07:00,2017-12-29T16:40:12-07:00,1768,1.309,2893,125
12/29/17,walking,walking,2017-12-29T16:55:58-07:00,2017-12-29T17:49:12-07:00,3194,2.573,5304,246
12/29/17,transport,transport,2017-12-29T17:49:12-07:00,2017-12-29T18:22:48-07:00,2016,12.803,0,0
12/29/17,walking,walking,2017-12-29T18:46:55-07:00,2017-12-29T18:48:02-07:00,67,0.031,100,3
12/29/17,transport,transport,2017-12-29T22:30:28-07:00,2017-12-29T22:37:10-07:00,402,1.457,0,0
12/31/17,walking,walking,2017-12-31T17:58:23-07:00,2017-12-31T17:59:59-07:00,96,0.059,191,6
12/31/17,walking,walking,2017-12-31T18:02:34-07:00,2017-12-31T18:03:03-07:00,29,0.012,40,1
12/31/17,transport,transport,2017-12-31T18:04:21-07:00,2017-12-31T18:45:12-07:00,2451,19.979,0,0
12/31/17,walking,walking,2017-12-31T20:54:22-07:00,2017-12-31T20:56:58-07:00,156,0.112,209,11
12/31/17,transport,transport,2017-12-31T22:52:04-07:00,2017-12-31T22:59:06-07:00,422,1.532,0,0
